Category: All categories

Week,headache: (Singapore)
2017-12-10,53
2017-12-17,63
2017-12-24,70
2017-12-31,67
2018-01-07,60
2018-01-14,52
2018-01-21,68
2018-01-28,60
2018-02-04,62
2018-02-11,68
2018-02-18,67
2018-02-25,65
2018-03-04,63
2018-03-11,55
2018-03-18,57
2018-03-25,64
2018-04-01,67
2018-04-08,64
2018-04-15,60
2018-04-22,48
2018-04-29,67
2018-05-06,66
2018-05-13,77
2018-05-20,68
2018-05-27,60
2018-06-03,65
2018-06-10,55
2018-06-17,59
2018-06-24,68
2018-07-01,70
2018-07-08,64
2018-07-15,75
2018-07-22,68
2018-07-29,54
2018-08-05,62
2018-08-12,61
2018-08-19,67
2018-08-26,53
2018-09-02,71
2018-09-09,63
2018-09-16,67
2018-09-23,58
2018-09-30,69
2018-10-07,66
2018-10-14,68
2018-10-21,60
2018-10-28,68
2018-11-04,57
2018-11-11,63
2018-11-18,61
2018-11-25,68
2018-12-02,60
2018-12-09,56
2018-12-16,75
2018-12-23,56
2018-12-30,69
2019-01-06,50
2019-01-13,59
2019-01-20,49
2019-01-27,70
2019-02-03,73
2019-02-10,58
2019-02-17,51
2019-02-24,71
2019-03-03,60
2019-03-10,54
2019-03-17,56
2019-03-24,52
2019-03-31,62
2019-04-07,71
2019-04-14,53
2019-04-21,70
2019-04-28,56
2019-05-05,56
2019-05-12,71
2019-05-19,59
2019-05-26,65
2019-06-02,54
2019-06-09,67
2019-06-16,62
2019-06-23,74
2019-06-30,63
2019-07-07,56
2019-07-14,55
2019-07-21,76
2019-07-28,71
2019-08-04,51
2019-08-11,69
2019-08-18,81
2019-08-25,55
2019-09-01,64
2019-09-08,74
2019-09-15,77
2019-09-22,75
2019-09-29,60
2019-10-06,74
2019-10-13,67
2019-10-20,68
2019-10-27,77
2019-11-03,59
2019-11-10,63
2019-11-17,87
2019-11-24,83
2019-12-01,60
2019-12-08,56
2019-12-15,59
2019-12-22,56
2019-12-29,60
2020-01-05,67
2020-01-12,58
2020-01-19,75
2020-01-26,74
2020-02-02,64
2020-02-09,76
2020-02-16,73
2020-02-23,69
2020-03-01,62
2020-03-08,69
2020-03-15,67
2020-03-22,83
2020-03-29,86
2020-04-05,62
2020-04-12,67
2020-04-19,75
2020-04-26,72
2020-05-03,73
2020-05-10,74
2020-05-17,75
2020-05-24,83
2020-05-31,61
2020-06-07,68
2020-06-14,76
2020-06-21,76
2020-06-28,62
2020-07-05,63
2020-07-12,63
2020-07-19,68
2020-07-26,75
2020-08-02,82
2020-08-09,62
2020-08-16,67
2020-08-23,71
2020-08-30,61
2020-09-06,80
2020-09-13,76
2020-09-20,78
2020-09-27,53
2020-10-04,71
2020-10-11,76
2020-10-18,61
2020-10-25,72
2020-11-01,69
2020-11-08,72
2020-11-15,81
2020-11-22,71
2020-11-29,74
2020-12-06,69
2020-12-13,71
2020-12-20,64
2020-12-27,56
2021-01-03,66
2021-01-10,48
2021-01-17,62
2021-01-24,61
2021-01-31,90
2021-02-07,69
2021-02-14,76
2021-02-21,71
2021-02-28,86
2021-03-07,76
2021-03-14,79
2021-03-21,69
2021-03-28,80
2021-04-04,56
2021-04-11,63
2021-04-18,74
2021-04-25,90
2021-05-02,65
2021-05-09,75
2021-05-16,83
2021-05-23,70
2021-05-30,89
2021-06-06,77
2021-06-13,82
2021-06-20,79
2021-06-27,83
2021-07-04,80
2021-07-11,83
2021-07-18,80
2021-07-25,86
2021-08-01,82
2021-08-08,100
2021-08-15,68
2021-08-22,68
2021-08-29,54
2021-09-05,74
2021-09-12,63
2021-09-19,65
2021-09-26,52
2021-10-03,66
2021-10-10,82
2021-10-17,76
2021-10-24,73
2021-10-31,55
2021-11-07,66
2021-11-14,68
2021-11-21,67
2021-11-28,67
2021-12-05,54
2021-12-12,59
2021-12-19,58
2021-12-26,71
2022-01-02,72
2022-01-09,94
2022-01-16,91
2022-01-23,88
2022-01-30,82
2022-02-06,76
2022-02-13,82
2022-02-20,82
2022-02-27,82
2022-03-06,83
2022-03-13,84
2022-03-20,77
2022-03-27,83
2022-04-03,71
2022-04-10,59
2022-04-17,61
2022-04-24,61
2022-05-01,62
2022-05-08,71
2022-05-15,66
2022-05-22,78
2022-05-29,68
2022-06-05,66
2022-06-12,75
2022-06-19,79
2022-06-26,87
2022-07-03,86
2022-07-10,95
2022-07-17,86
2022-07-24,69
2022-07-31,80
2022-08-07,80
2022-08-14,72
2022-08-21,81
2022-08-28,73
2022-09-04,74
2022-09-11,74
2022-09-18,72
2022-09-25,85
2022-10-02,74
2022-10-09,77
2022-10-16,91
2022-10-23,87
2022-10-30,76
2022-11-06,82
2022-11-13,66
2022-11-20,70
2022-11-27,68
