Category: All categories,
,
Week,headache: (Singapore)
2016-01-03,81
2016-01-10,76
2016-01-17,79
2016-01-24,68
2016-01-31,52
2016-02-07,96
2016-02-14,81
2016-02-21,72
2016-02-28,70
2016-03-06,76
2016-03-13,63
2016-03-20,52
2016-03-27,73
2016-04-03,78
2016-04-10,90
2016-04-17,68
2016-04-24,79
2016-05-01,61
2016-05-08,88
2016-05-15,70
2016-05-22,77
2016-05-29,74
2016-06-05,76
2016-06-12,61
2016-06-19,78
2016-06-26,87
2016-07-03,83
2016-07-10,67
2016-07-17,67
2016-07-24,63
2016-07-31,62
2016-08-07,63
2016-08-14,71
2016-08-21,64
2016-08-28,62
2016-09-04,65
2016-09-11,81
2016-09-18,97
2016-09-25,86
2016-10-02,75
2016-10-09,79
2016-10-16,67
2016-10-23,58
2016-10-30,76
2016-11-06,100
2016-11-13,67
2016-11-20,52
2016-11-27,54
2016-12-04,66
2016-12-11,69
2016-12-18,67
2016-12-25,71
2017-01-01,70
2017-01-08,84
2017-01-15,63
2017-01-22,67
2017-01-29,63
2017-02-05,59
2017-02-12,50
2017-02-19,75
2017-02-26,66
2017-03-05,90
2017-03-12,62
2017-03-19,91
2017-03-26,60
2017-04-02,87
2017-04-09,56
2017-04-16,74
2017-04-23,70
2017-04-30,77
2017-05-07,75
2017-05-14,79
2017-05-21,89
2017-05-28,71
2017-06-04,66
2017-06-11,64
2017-06-18,88
2017-06-25,63
2017-07-02,72
2017-07-09,74
2017-07-16,75
2017-07-23,71
2017-07-30,83
2017-08-06,65
2017-08-13,78
2017-08-20,83
2017-08-27,75
2017-09-03,72
2017-09-10,57
2017-09-17,67
2017-09-24,82
2017-10-01,90
2017-10-08,81
2017-10-15,63
2017-10-22,84
2017-10-29,76
2017-11-05,78
2017-11-12,98
2017-11-19,88
2017-11-26,83
2017-12-03,88
2017-12-10,80
2017-12-17,73
2017-12-24,66
2017-12-31,78
2018-01-07,57
2018-01-14,61
2018-01-21,60
2018-01-28,55
2018-02-04,62
2018-02-11,69
2018-02-18,69
2018-02-25,64
2018-03-04,55
2018-03-11,55
2018-03-18,66
2018-03-25,64
2018-04-01,68
2018-04-08,65
2018-04-15,59
2018-04-22,59
2018-04-29,66
2018-05-06,60
2018-05-13,69
2018-05-20,69
2018-05-27,60
2018-06-03,62
2018-06-10,55
2018-06-17,61
2018-06-24,74
2018-07-01,58
2018-07-08,61
2018-07-15,75
2018-07-22,68
2018-07-29,53
2018-08-05,62
2018-08-12,61
2018-08-19,58
2018-08-26,52
2018-09-02,67
2018-09-09,61
2018-09-16,69
2018-09-23,59
2018-09-30,67
2018-10-07,69
2018-10-14,69
2018-10-21,58
2018-10-28,62
2018-11-04,59
2018-11-11,59
2018-11-18,60
2018-11-25,65
2018-12-02,56
2018-12-09,53
2018-12-16,59
2018-12-23,54
2018-12-30,66
2019-01-06,49
2019-01-13,56
2019-01-20,56
2019-01-27,72
2019-02-03,67
2019-02-10,60
2019-02-17,51
2019-02-24,63
2019-03-03,62
2019-03-10,59
2019-03-17,59
2019-03-24,57
2019-03-31,62
2019-04-07,69
2019-04-14,57
2019-04-21,61
2019-04-28,52
2019-05-05,60
2019-05-12,68
2019-05-19,53
2019-05-26,72
2019-06-02,56
2019-06-09,64
2019-06-16,59
2019-06-23,69
2019-06-30,64
2019-07-07,59
2019-07-14,62
2019-07-21,76
2019-07-28,68
2019-08-04,54
2019-08-11,65
2019-08-18,81
2019-08-25,55
2019-09-01,62
2019-09-08,77
2019-09-15,75
2019-09-22,75
2019-09-29,59
2019-10-06,77
2019-10-13,68
2019-10-20,65
2019-10-27,71
2019-11-03,59
2019-11-10,67
2019-11-17,76
2019-11-24,78
2019-12-01,56
2019-12-08,52
2019-12-15,67
2019-12-22,58
2019-12-29,59
2020-01-05,67
2020-01-12,60
2020-01-19,73
2020-01-26,71
2020-02-02,69
2020-02-09,70
2020-02-16,73
2020-02-23,68
2020-03-01,65
2020-03-08,70
2020-03-15,65
2020-03-22,85
2020-03-29,85
2020-04-05,64
2020-04-12,63
2020-04-19,72
2020-04-26,66
2020-05-03,75
2020-05-10,78
2020-05-17,77
2020-05-24,78
2020-05-31,60
2020-06-07,67
2020-06-14,77
2020-06-21,72
2020-06-28,62
2020-07-05,60
2020-07-12,58
2020-07-19,66
2020-07-26,75
2020-08-02,78
2020-08-09,64
2020-08-16,69
2020-08-23,69
2020-08-30,61
2020-09-06,75
2020-09-13,72
2020-09-20,80
2020-09-27,56
2020-10-04,70
2020-10-11,73
2020-10-18,63
2020-10-25,70
2020-11-01,68
2020-11-08,73
2020-11-15,83
2020-11-22,71
2020-11-29,77
2020-12-06,71
2020-12-13,72
2020-12-20,61
2020-12-27,55
2021-01-03,69
2021-01-10,43
2021-01-17,64
2021-01-24,59
2021-01-31,80
2021-02-07,64
2021-02-14,75
2021-02-21,67
2021-02-28,76
2021-03-07,72
2021-03-14,78
2021-03-21,65
2021-03-28,77
2021-04-04,56
2021-04-11,65
2021-04-18,73
2021-04-25,85
2021-05-02,67
2021-05-09,70
2021-05-16,77
2021-05-23,78
2021-05-30,83
2021-06-06,75
2021-06-13,76
2021-06-20,78
2021-06-27,85
2021-07-04,80
2021-07-11,79
2021-07-18,87
2021-07-25,90
2021-08-01,84
2021-08-08,100
2021-08-15,71
2021-08-22,65
2021-08-29,47
2021-09-05,75
2021-09-12,64
2021-09-19,63
2021-09-26,52
2021-10-03,64
2021-10-10,85
2021-10-17,75
2021-10-24,56
2021-10-31,50
2021-11-07,66
2021-11-14,73
2021-11-21,64
2021-11-28,64
2021-12-05,54
2021-12-12,53
2021-12-19,53
2021-12-26,76
2022-01-02,72
2022-01-09,97
2022-01-16,88
2022-01-23,88
2022-01-30,83
2022-02-06,69
2022-02-13,79
2022-02-20,78
2022-02-27,80
2022-03-06,81
2022-03-13,81
2022-03-20,76
2022-03-27,81
2022-04-03,65
2022-04-10,57
2022-04-17,59
2022-04-24,62
2022-05-01,61
2022-05-08,67
2022-05-15,66
2022-05-22,72
2022-05-29,68
2022-06-05,61
2022-06-12,72
2022-06-19,82
2022-06-26,83
2022-07-03,85
2022-07-10,90
2022-07-17,81
2022-07-24,70
2022-07-31,83
2022-08-07,79
2022-08-14,67
2022-08-21,81
2022-08-28,74
